Feature,Coefficient,Abs_Coefficient
duration,115851.04125601173,115851.04125601173
duration_minutes,-115222.64401306,115222.64401306
class_encoded,-20627.063024323357,20627.063024323357
stops_encoded,-2216.773770255066,2216.773770255066
route_encoded,1951.6295480692152,1951.6295480692152
source_city_encoded,-1817.2810508094954,1817.2810508094954
airline_encoded,1736.554837063472,1736.554837063472
days_left,-1256.7970450669018,1256.7970450669018
booking_window_group_encoded,1157.632517301592,1157.632517301592
arrival_time_encoded,327.7295278126685,327.7295278126685
destination_city_encoded,-126.45616194500917,126.45616194500917
departure_time_encoded,66.98206223525904,66.98206223525904
